x_utm,y_utm,ba_ppm,co_ppm,cr_ppm,cu_ppm,fe2o3_pct,ni_ppm,p_ppm,pb_ppm,v_ppm,y_ppm,zn_ppm
761070,6205259,399,12,32,17,4.65,16,568,13,70,17,92
762355,6205321,393,13,35,16,3.96,17,258,13,72,17,52
761097,6204343,888,11,28,19,4.02,15,242,14,76,17,54
760088,6203893,481,19,33,19,5.10,14,335,14,82,26,63
762863,6204007,488,19,38,21,3.05,16,245,13,50,31,66
761999,6203181,387,20,21,19,5.26,21,262,13,77,17,72
761637,6203016,399,20,29,19,5.19,14,369,17,66,17,71
761320,6203664,490,17,31,17,8.05,14,433,12,81,24,58
763274,6202288,424,20,29,16,3.97,14,273,11,58,20,56
763152,6201975,389,20,37,25,3.60,18,317,17,52,19,55
762861,6201822,327,11,21,18,1.69,12,264,21,30,22,40
762724,6202171,404,17,28,20,1.50,14,181,15,30,26,38
760385,6202335,453,20,36,20,6.31,19,321,15,89,19,99
760311,6201515,421,14,38,21,9.77,17,369,14,106,22,104
760560,6201367,405,20,29,21,6.95,16,193,15,90,21,85
761290,6201991,466,13,33,12,5.28,14,299,15,72,19,69
760025,6203071,412,21,41,22,7.33,22,295,28,114,17,88
761665,6200970,438,14,31,20,6.18,17,282,16,84,18,72
763078,6200361,476,21,31,15,3.75,15,412,12,58,17,69
762798,6200256,576,21,39,22,4.96,18,433,13,76,19,75
761018,6199804,362,14,34,19,4.98,19,376,15,54,21,55
760716,6199761,392,15,29,20,5.29,13,267,15,72,23,76
761346,6199333,417,21,32,18,5.88,32,238,15,81,23,75
760716,6199089,394,25,35,17,3.07,25,170,14,48,23,52
761081,6198735,351,21,35,17,2.34,17,309,19,37,23,33
759965,6198878,444,21,38,20,5.20,16,230,15,67,31,64
760647,6197645,370,12,31,19,3.57,14,306,21,47,28,45
761298,6197518,383,11,32,17,4.72,14,169,15,71,21,57
761214,6197153,392,15,32,24,4.50,17,210,11,66,19,58
760753,6197010,412,15,54,17,4.78,30,270,16,62,19,57
759478,6195084,343,15,35,17,1.70,16,254,13,29,12,36
760690,6195729,349,11,40,25,4.36,17,139,14,74,19,45
760600,6195364,344,22,39,20,3.69,18,179,12,72,13,37
760716,6195089,321,12,34,16,1.99,13,185,16,36,15,39
763834,6203841,329,22,33,20,3.90,17,212,13,57,12,39
764463,6202957,438,17,35,17,3.30,18,249,13,50,27,51
765300,6202528,422,13,44,22,6.02,23,147,16,68,30,59
766511,6202311,406,11,36,18,3.50,18,192,16,56,14,43
765569,6201465,352,22,45,26,6.05,22,422,13,66,17,64
766675,6201269,355,11,38,27,3.70,19,225,16,63,12,43
764317,6198901,440,15,38,19,4.46,25,239,13,52,19,55
764375,6199674,358,22,35,16,3.83,15,294,16,58,21,51
763348,6199160,308,22,48,18,2.89,18,224,16,46,13,41
763883,6198774,349,20,44,25,1.59,20,297,16,30,30,37
764211,6198282,341,13,30,16,4.66,15,292,16,56,17,49
764565,6198054,346,23,33,20,3.36,15,278,16,55,10,46
765490,6199904,382,23,42,22,5.29,14,273,12,69,16,56
765622,6199745,346,24,27,19,6.91,13,335,20,89,13,69
765543,6198321,329,23,35,23,4.29,18,210,14,73,12,49
766278,6198258,312,23,45,25,3.22,17,150,16,57,12,33
766321,6198618,322,12,37,16,4.30,16,227,17,76,18,50
767675,6200851,375,28,38,34,5.28,27,221,17,77,15,65
767654,6198686,337,12,46,26,4.32,28,111,17,64,13,48
766019,6197506,306,12,31,20,6.25,17,258,17,97,13,55
766046,6196856,240,23,37,15,3.36,12,207,16,58,10,39
766130,6196607,395,23,33,19,3.76,19,476,17,63,14,57
766744,6195972,404,14,46,21,4.02,24,240,12,67,19,56
767257,6195776,362,11,36,18,3.49,16,220,17,54,16,54
765564,6196819,302,16,28,18,2.89,17,122,11,52,11,36
763696,6196554,432,17,33,22,5.49,19,355,14,80,13,68
763839,6196771,427,24,32,17,6.73,13,232,15,90,24,94
764627,6195877,332,24,39,23,3.20,20,208,13,55,12,45
765268,6195644,376,19,36,17,3.67,18,215,13,60,15,50
765527,6195908,349,24,40,27,3.45,20,224,14,76,13,46
767348,6194230,322,12,35,30,3.26,20,180,17,56,11,39
767519,6194885,326,25,48,22,2.57,20,272,12,45,13,44
767364,6195567,319,12,40,22,2.55,21,137,13,47,11,34
766086,6195266,306,13,41,25,2.17,19,196,17,34,9,38
766709,6194432,338,24,27,19,2.09,25,204,11,38,10,31
767078,6193861,299,24,38,21,1.94,16,98,14,36,8,11
765546,6194016,326,25,33,21,2.89,15,128,14,55,12,36
763812,6194024,337,12,37,23,3.10,18,151,14,58,10,35
765401,6192520,336,12,39,21,3.00,22,224,17,52,13,53
766051,6192568,372,11,35,20,2.92,18,199,18,50,10,39
766877,6191922,307,15,36,33,2.65,23,224,14,43,13,43
766454,6192457,429,14,41,28,3.26,24,230,18,63,13,46
764205,6192059,365,18,42,23,3.45,31,173,16,50,19,57
